Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5117581	2018-06-15 16:34:13	2016-12-16 22:58:40	15716787	1571678700	0	100	1112		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117581	SRX2432985		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868527	SAMN06161318	simple	9606	Homo sapiens	GSM2431246							no					GEO	SRA505100		public	6FB1AC25BF840585544D892C0D64F2ED	5E374427A1294CA72D4C61675E243A30
SRR5117582	2018-06-15 16:34:13	2016-12-16 22:58:35	15214553	1521455300	0	100	1072		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117582	SRX2432985		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868527	SAMN06161318	simple	9606	Homo sapiens	GSM2431246							no					GEO	SRA505100		public	419452ACAF5E1817B93AD32E0BEF5310	85FFB46983522704D0C6C101EFC3BD0B
SRR5117583	2018-06-15 16:34:13	2016-12-16 22:59:31	17204582	1720458200	0	100	1190		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117583	SRX2432986		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868528	SAMN06161317	simple	9606	Homo sapiens	GSM2431247							no					GEO	SRA505100		public	83AAE58E8C8453E08DABF973BEB0A28C	7AD60E9CA764BF462CB9B6EAD8B7D465
SRR5117584	2018-06-15 16:34:14	2016-12-16 23:00:16	16947800	1694780000	0	100	1176		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117584	SRX2432986		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868528	SAMN06161317	simple	9606	Homo sapiens	GSM2431247							no					GEO	SRA505100		public	C114CDB4E56EF923E62C48720C75C781	B07DB9675097F51BFCF06F55CDC7BF9C
SRR5117585	2018-06-15 16:34:14	2016-12-16 22:59:59	18973919	1897391900	0	100	1313		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117585	SRX2432987		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868529	SAMN06161316	simple	9606	Homo sapiens	GSM2431248							no					GEO	SRA505100		public	B273ACABE71B59C6DC3A4986B8820723	699BAF5358F66AD15CFC5659D0220443
SRR5117586	2018-06-15 16:34:14	2016-12-16 23:00:27	18677409	1867740900	0	100	1297		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117586	SRX2432987		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868529	SAMN06161316	simple	9606	Homo sapiens	GSM2431248							no					GEO	SRA505100		public	CBD6C21849F36FDB8BC9BF77E38B7C30	CAE90BF6A4B3BBA2AC95B124F450BCEE
SRR5117587	2018-06-15 16:34:14	2016-12-16 23:00:49	19522435	1952243500	0	100	1354		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117587	SRX2432988		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868532	SAMN06161315	simple	9606	Homo sapiens	GSM2431249							no					GEO	SRA505100		public	820A75F0D768A79E4B32B570A931396C	922FC4E0757E175A4C531BD6038B1458
SRR5117588	2018-06-15 16:34:14	2016-12-16 23:00:29	19217019	1921701900	0	100	1322		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117588	SRX2432988		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868532	SAMN06161315	simple	9606	Homo sapiens	GSM2431249							no					GEO	SRA505100		public	7578629C9DA1448A13F9A1C6EE77B057	1C6A1A936DE438C3DD2C5B4037C2815C
SRR5117589	2018-06-15 16:34:14	2016-12-16 22:59:50	15466257	1546625700	0	100	1072		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117589	SRX2432989		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868530	SAMN06161401	simple	9606	Homo sapiens	GSM2431250							no					GEO	SRA505100		public	30B88F392928A3674DD144FF5B1ABF5E	E0952D21C63AE0D8D480B2B353D1652F
SRR5117590	2018-06-15 16:34:14	2016-12-16 22:59:16	15085657	1508565700	0	100	1037		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117590	SRX2432989		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868530	SAMN06161401	simple	9606	Homo sapiens	GSM2431250							no					GEO	SRA505100		public	012311FFA0C7A0307443A29E9C89F507	EA5F8B360D23F5F7B7AC16EBA4239D5E
SRR5117591	2018-06-15 16:34:14	2016-12-16 22:59:12	14473244	1447324400	0	100	1009		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117591	SRX2432990		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868531	SAMN06161400	simple	9606	Homo sapiens	GSM2431251							no					GEO	SRA505100		public	B15AABAA7D9679618AC5B4725C9767EE	820BCAD9BC42CF6D1C4ED23623DEB0F9
SRR5117592	2018-06-15 16:34:14	2016-12-16 22:59:36	14218612	1421861200	0	100	1001		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117592	SRX2432990		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868531	SAMN06161400	simple	9606	Homo sapiens	GSM2431251							no					GEO	SRA505100		public	DB49591E05F140AB61B77614F215EDDC	825020DA2A9DA27C11CEB87B09E6327A
SRR5117593	2018-06-15 16:34:14	2016-12-16 23:03:24	29129036	2912903600	0	100	1942		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117593	SRX2432991		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868535	SAMN06161399	simple	9606	Homo sapiens	GSM2431252							no					GEO	SRA505100		public	8E84A35B3CC4E15B446971296B315259	C6C995F2EB2D2279FACA5B8A46123F6A
SRR5117594	2018-06-15 16:34:14	2016-12-16 23:02:03	22802674	2280267400	0	100	1522		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117594	SRX2432991		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868535	SAMN06161399	simple	9606	Homo sapiens	GSM2431252							no					GEO	SRA505100		public	A19E4EF69456A4F29280A04BE1914A75	EB6559A7ACDCA46F2C8A39C6BE16015A
SRR5117595	2018-06-15 16:34:14	2016-12-16 23:02:56	21445828	2144582800	0	100	1484		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117595	SRX2432992		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868534	SAMN06161398	simple	9606	Homo sapiens	GSM2431253							no					GEO	SRA505100		public	5787C8510D9B663822C0DCDD26D4A33B	0B244CFE67976022FC8DC36709E2D3F4
SRR5117596	2018-06-15 16:34:14	2016-12-16 23:01:42	20944733	2094473300	0	100	1450		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117596	SRX2432992		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868534	SAMN06161398	simple	9606	Homo sapiens	GSM2431253							no					GEO	SRA505100		public	25EDAA3FF5653C8D7F56B58FC191E83D	80F81F55BC2182FC8A5AD1B2ACA14081
SRR5117597	2018-06-15 16:34:14	2016-12-16 23:00:18	17770443	1777044300	0	100	1232		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117597	SRX2432993		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868533	SAMN06161397	simple	9606	Homo sapiens	GSM2431254							no					GEO	SRA505100		public	BC849E26D0CE861BBCFEA6E8CABE2597	A10CEA3AAB2FCF357D721639729793AC
SRR5117598	2018-06-15 16:34:14	2016-12-16 23:00:41	17468013	1746801300	0	100	1224		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117598	SRX2432993		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868533	SAMN06161397	simple	9606	Homo sapiens	GSM2431254							no					GEO	SRA505100		public	20D4896922D8BFC670A9CE2AAAD5163E	04BB5F9FF99F80D4618FE04DB473079D
SRR5117599	2018-06-15 16:34:14	2016-12-16 22:56:12	1469677	146967700	0	100	103		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117599	SRX2432994		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868536	SAMN06161396	simple	9606	Homo sapiens	GSM2431255							no					GEO	SRA505100		public	224CFEE2D6B5EF3862932669CE05E873	D8A7566D584B7157CAB9CF391A4F195D
SRR5117600	2018-06-15 16:34:14	2016-12-16 22:56:43	1449855	144985500	0	100	101		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117600	SRX2432994		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868536	SAMN06161396	simple	9606	Homo sapiens	GSM2431255							no					GEO	SRA505100		public	69F9C8FEE76265BBEF403BC2AD67175B	A1CB1213CDF4A26996E6EDF92DD7B29C
SRR5117601	2018-06-15 16:34:14	2016-12-16 22:57:03	3147191	314719100	0	100	211		https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004997/SRR5117601	SRX2432994		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095272	PRJNA357867		357867	SRS1868536	SAMN06161396	simple	9606	Homo sapiens	GSM2431255							no					GEO	SRA505100		public	754352691C99C23CD3618EEBEC729E18	7EA5EE3EDF796CBB93AD1F8400E3D278
